Let's try something.	Mari kita coba sesuatu.
I have seen that girl before.	Aku pernah melihat gadis itu sebelumnya.
I usually get up at six.	Biasanya saya bangun pada pukul enam.
I come from Australia.	Saya datang dari Australia.
I arrived here at eight this morning.	Saya sampai di sini pukul delapan pagi ini.
I don't know how to operate this computer.	Saya tidak mengetahui cara penggunaan komputer ini.
I agree to this plan.	Saya setuju pada rencana ini.
I can't put up with this hot weather.	Aku tidak tahan dengan cuaca panas ini.
I have read this book before.	Aku pernah membaca buku ini sebelumnya.
I did so, not because I wanted to, but because I had to.	Aku melakukannya bukan karena ingin, tetapi karena harus.
I washed my shirt clean.	Saya mencuci bajuku sampai bersih.
We chose John as captain.	Kami memilih John sebagai kapten.
I like steak better than anything else, and eat it every other day.	Aku suka steik dibanding makanan yang lain, dan aku memakannya setiap hari.
I slipped and twisted my ankle.	Aku terpeleset dan kakiku terkilir.
I am not good at sports.	Aku tidak jago dalam hal olahraga.
I fell asleep with a sweater on.	Aku tertidur dengan mengenakan sebuah sweter.
I am ashamed of having done so.	Saya malu telah melakukan hal tersebut.
I am in no position to do anything about it.	Saya tidak punya kapasitas untuk mengatasi hal ini.
I could hardly believe my ears when I heard the news.	Sulit untukku mempercayai berita itu.
I want to sing the song.	Aku ingin menyanyikan lagu itu.
I have to make the best of that small room.	Aku harus memanfaatkan ruang yang kecil itu sebaik-baiknya.
I can't approve the project. It leaves much to be desired.	Saya tidak bisa menyetujui proyek ini. Masih banyak hal yang tidak memuaskan.
I tried to put an end to the quarrel.	Aku berusaha untuk menghentikan pertengkaran itu.
I know the girl.	Aku tahu perempuan itu.
I bought a hat at the store.	Aku membeli topi di toko itu.
I am fed up with it.	Aku sudah jenuh akan hal itu.
I can sing it in English.	Aku bisa menyanyikannya dalam bahasa Inggris.
I saw it with my own eyes.	Aku melihatnya dengan mataku sendiri.
I wanted to get a lot of money.	Saya ingin mendapatkan uang yang banyak.
I can eat anything but onions.	Aku bisa memakan apa saja kecuali bawang.
I've just finished breakfast.	Aku baru saja selesai sarapan.
I like chocolate.	Aku suka cokelat.
I am going to play tennis.	Saya akan bermain tenis.
I helped Tony.	Saya menolong Tony.
I've never been to New York, and my sister hasn't, either.	Aku belum pernah ke New York, dan kakakku juga belum.
I can't speak French at all.	Saya sama sekali tidak bisa berbahasa Prancis.
I can't put up with this any longer.	Aku tidak mampu menahannya lebih lama lagi.
I do not trust him any longer.	Aku sudah tidak lagi mempercayai dia.
I prefer modern furniture.	Aku lebih suka mebel modern.
I often fell, but I never gave up.	Saya sering jatuh, tapi saya tidak pernah menyerah.
I like all films that Juzo Itami directs.	Saya suka semua film yang disutradarai Juzo Itami.
I don't understand English.	Saya tidak mengerti bahasa Inggris.
I have often met Mr Sasaki at the station.	Saya sering bertemu Pak Sasaki di stasiun.
I met my teacher on the way to the station.	Saya bertemu dengan guru saya dalam perjalanan ke stasiun.
I can't give up smoking.	Aku tidak bisa berhenti merokok.
I got this job with my teacher's help.	Saya mendapatkan pekerjaan ini dengan bantuan guru saya.
I can pay no more than $50 a week for rent.	Aku tidak bisa membayar lebih dari $50 seminggu untuk sewa.
I like sweet cakes very much.	Saya sangat suka kue yang manis.
I'm not going back.	Aku tidak akan kembali.
I have to go home.	Saya harus pulang
I came to Japan last year.	Aku datang ke Jepang tahun lalu.
I agree with you.	Aku setuju denganmu.
I know your father.	Aku tahu ayahmu.
I'm thinking about you.	Aku memikirkan tentang dirimu.
I like your car.	Aku suka mobilmu.
I am not so diligent as my brother.	Saya tidak serajin kakak saya.
I tried to imagine life on the moon.	Aku mencoba membayangkan kehidupan di bulan.
I ran across a rare book in a secondhand bookstore.	Aku kebetulan menemukan sebuah buku yang langka di toko buku bekas.
I'll join you later.	Aku akan menyusul kalian nanti.
I was searched by the customs officers at the airport.	Saya diperiksa badan oleh petugas Bea dan Cukai di bandar udara.
I am busy cooking at the moment.	Saat ini saya sedang sibuk memasak.
I am studying English now.	Saya sedang belajar Bahasa Inggris sekarang.
I am writing a letter.	Saya sedang menulis surat.
I think I will take a vacation this week.	Kupikir aku akan berlibur pekan ini.
I have been abroad several times this year.	Saya sudah beberapa kali keluar negeri tahun ini.
I could not accept that my wife was really dead.	Saya tidak dapat menerima bahwa istri saya benar-benar sudah meninggal.
I told my wife to get ready in a hurry.	Aku memberitahu istriku untuk cepat bersiap-siap.
It was not till yesterday that I knew the fact.	Baru kemarin saya tahu hal tersebut.
It was not until yesterday that I knew it.	Baru kemarin aku mengetahuinya.
I met Mary yesterday.	Aku bertemu Mary kemarin.
I got my wallet stolen in the train yesterday.	Kemarin, dompetku dicuri di kereta.
I met him yesterday.	Kemarin saya bertemu dia.
I wrote three letters last night.	Aku menulis tiga pucuk surat semalam.
I'm not a child, but sometimes you talk to me as if I were a child.	Aku bukan anak kecil, tapi kadang-kadang kamu bicara padaku seakan-akan aku ini anak kecil.
I had to finish the job by the stated date.	Aku harus menyelesaikan pekerjaan itu pada tanggal yang ditentukan.
I had my watch stolen.	Arloji saya dicuri.
I read books and magazines to keep up with the times.	Aku membaca buku-buku dan majalah-majalah untuk menghabiskan waktu.
I realized that what I had chosen didn't really interest me.	Aku sadar kalau apa yang telah aku pilih ternyata tidak membuatku tertarik.
I prefer to travel in my car.	Saya lebih memilih berpergian dengan mobil.
I want to have a talk with him about my future.	Aku ingin berbicara dengannya tentang masa depanku.
I go to the office by car, and I try to leave home as early as I can so that I can avoid the traffic jams.	Saya berangkat ke kantor dengan mobil, dan saya mencoba untuk berangkat dari rumah segera agar saya dapat menghindari kemacetan lalu lintas.
I don't have a car.	Saya tidak memiliki mobil.
I watched from the garage window, amazed at what I saw.	Aku melihat dari jendela garasi, terkejut pada apa yang aku lihat.
I can speak English a little.	Saya bisa berbicara bahasa Inggris sedikit.
I spoke to the boy, who seemed to be older than the girl.	saya berbicara dengan anak laki-laki itu, yang tampaknya lebih tua dibandingkan anak perempuan
I cleared the table.	Aku membersihkan mejanya.
I am pleased with my new house.	Saya merasa senang dengan rumah baru saya.
I study math as hard as English.	Aku belajar matematika dengan giat, segiat waktu aku belajar bahasa Inggris.
I'm not a student.	Aku bukan pelajar.
I have life insurance.	Saya punya asuransi jiwa.
I love the taste of watermelon.	Aku sangat suka rasanya semangka.
I agree with your opinion about taxes.	Saya setuju dengan pendapat Anda mengenai pajak.
I paid $200 in taxes.	Aku membayar $200 untuk pajak.
I'm not what I used to be.	Aku tidak sama seperti dulu.
I'm not as healthy as I used to be.	Aku tidak sesehat dulu.
I work for an oil company.	Saya bekerja di sebuah perusahaan minyak.
I bought a red sports car.	Aku membeli sebuah mobil sport merah.
I like red roses.	Aku suka mawar merah.
I like white roses better than red ones.	Aku lebih suka mawar putih daripada mawar merah.
I wanted red shoes.	Aku ingin sepatu merah.
I have a new red car.	Aku punya mobil baru warna merah.
I like white wine better than red.	Aku lebih suka anggur putih daripada merah.
I have no knife to cut with.	Aku tidak punya pisau untuk memotongnya.
I have a large collection of stamps.	Saya punya banyak koleksi perangko.
I need to get a stamp.	Aku butuh perangko.
I've lost my ticket.	Aku kehilangan tiketku.
I don't care if it snows.	Aku tidak peduli meskipun turun salju.
I caught a cold last month.	Bulan lalu saya sakit flu.
I had my mistakes pointed out by my teacher.	Guruku menunjukkan di mana letak kesalahanku.
I still haven't learned to drive a car.	Aku masih belum belajar mengendarai mobil.
I have a dog which can run fast.	Saya punya anjing yang dapat berlari dengan cepat.
I waited and waited.	Saya menunggu dan menunggu.
I know who likes Sachiko.	Aku tahu siapa yang suka dengan Sachiko.
I am tired of my monotonous life.	Aku lelah dengan kehidupanku yang monoton.
I ate a hot dog for lunch.	Saya makan hot dog untuk makan siang.
I have lived here for a long time.	Saya tinggal di sini sejak lama.
I don't like my brother climbing the mountains.	Aku tidak suka kalau adikku mendaki gunung.
I must have tried on everything in the shop, but nothing looked right on me.	Aku sudah mencoba semuanya yang ada di toko, tapi tidak ada yang cocok denganku.
I like summer better than winter.	Aku lebih suka musim panas daripada musim dingin.
I am happiest when I am reading.	Saya senang ketika saya membaca.
I think that Japan is a very safe country.	Menurut saya Jepang adalah negara yang paling aman.
I entered the museum through the wrong gate. I should have been more careful.	Aku masuk ke museum melalui gerbang yang salah. Seharusnya aku lebih berhati-hati.
I suspected that he was telling a lie, but that didn't surprise me.	Aku telah menduga bahwa dia berbohong, tapi itu tidak membuatku terkejut.
I worry about him.	Aku mengkhawatirkan dia.
I am sure of his passing the exam.	Aku yakin dia akan berhasil melewati tesnya.
I don't consider him honest.	Saya tidak menganggap dia jujur.
I saw him crossing the street.	Aku melihat dia menyeberang jalan.
I thought he was sick.	Kukira dia sakit.
I am to meet him there.	Saya akan bertemu dengannya di sana.
I got acquainted with him in France.	Aku berkenalan dengannya di Prancis.
I ran a race with him.	Aku berbalapan lari dengannya.
I tried to explain to him that we were not responsible for his mistake, but he refused to listen.	Saya mencoba menjelaskan kepada dia bahwa kami tidak bertanggung jawab atas kesalahannya namun ia menolak mendengar.
I agree with him.	Saya setuju dengan dia.
I met him on the street.	Aku bertemu dengannya di jalan.
I gave him a call.	Aku meneleponnya.
I meet with him once every six months.	Aku bertemu dengannya tiap enam bulan sekali.
I have read twice as many books as he has.	Aku sudah membaca buku sebanyak dua kali lipat buku yang ia baca.
I found his house with ease.	Saya dapat menemukan rumahnya dengan mudah.
I haven't read all of his novels.	Aku belum membaca semua novelnya.
I doubt his story.	Saya meragukan ceritanya.
I am not as tall as he.	Saya tidak setinggi dirinya.
I interpreted their silence as consent.	Saya menganggap diamnya mereka sebagai tanda setuju.
I'm waiting for him.	Aku sedang menunggunya.
I'd like to see her.	Aku ingin bertemu dengannya.
I showed her my room.	Aku menunjukkan kamarku padanya.
I asked her if she knew his address.	Aku bertanya padanya apakah ia tahu alamat ini.
I can make out what she said.	Aku bisa memahami apa yang ia katakan.
I can't do without her help.	Aku tidak dapat melakukannya tanpa bantuan dia(perempuan).
I consider her as an honest woman.	Saya menganggap dia sebagai seorang wanita yang jujur
I was tired.	Aku lelah.
I've climbed Mt. Fuji twice.	Aku telah mendaki gunung Fuji dua kali.
I've never climbed Mt. Fuji.	Aku belum pernah mendaki gunung Fuji.
I usually go to bed at nine.	Aku biasanya pergi tidur jam sembilan.
I like to go fishing with my father.	Aku suka pergi memancing dengan ayahku.
I have to go there for my father.	Saya harus pergi ke sana demi ayah saya.
I am tired of hearing Father's stories.	Saya lelah mendengarkan cerita Ayah.
I like to read story books.	Saya suka membaca buku cerita.
I am tired of hearing that.	Saya bosan mendengar hal itu.
I have to study.	Aku harus belajar.
When I heard it, I was dumbfounded.	Aku tercengang ketika mendengarnya.
I've lost my fountain pen. I have to buy one tomorrow.	Aku kehilangan penaku. Aku harus membeli satu lagi besok.
I will get up early tomorrow.	Aku akan bangun lebih awal besok.
I am going to go to Tokyo tomorrow.	Aku akan pergi ke Tokyo besok.
I will go to Tokyo tomorrow.	Aku akan pergi ke Tokyo besok.
I make it a rule not to sit up late.	Aku membiasakan diri untuk tidak begadang.
I felt sad for no reason.	Saya merasa sedih tanpa alasan.
I have my supper at a quarter past seven.	Saya makan malam pada pukul tujuh lewat lima belas menit.
I had to work on an essay.	Tadi aku harus mengerjakan esaiku.
I don't like it, either.	Aku juga tidak menyukainya.
I also went.	Saya juga pergi.
Don't let me down.	Jangan buat aku kecewa.
You can call me Bob.	Kau bisa memanggilku Bob.
Don't make little of me.	Jangan meremehkanku.
Look at me.	Lihat saya.
Our plans went wrong.	Rencana kita telah gagal.
We named the dog Tim.	Kami menamai anjing itu Tim.
We waste a lot of time.	Kita banyak membuang waktu.
Last summer we went to Hokkaido.	Pada musim panas yang lalu kami pergi ke Hokkaido.
We elected Jack chairman.	Kami mengangkat Jack sebagai ketua.
We know him.	Kami mengenalnya.
All of us are happy.	Kami semua bahagia.
We managed to swim across the river.	Kami berhasil berenang menyebrangi sungai.
We should tell children how to protect themselves.	Kita harus memberitahukan kepada anak-anak bagaimana caranya melindungi diri sendiri.
We went to the park to take pictures.	Kami pergi ke taman untuk berfoto.
We are working for world peace.	Kami bekerja demi perdamaian dunia.
We went swimming in the river.	Kami pergi berenang di sungai.
We call him Mike.	Kami memanggilnya Mike.
We usually call him Toshi.	Biasanya kami memanggil dia Toshi.
I need some paper.	Aku perlu kertas.
Paper is made from wood.	Kertas terbuat dari kayu.
Poets often compare death to sleep.	Penyair sering membandingkan kematian dengan tidur.
Let's have a go at it.	Mari kita mencobanya.
I've got a toothache.	Saya sakit gigi.
The accident happened on Sunday at about 3:00.	Kecelakaan itu terjadi pada hari Minggu sekitar pukul 3.
Come and see me when you have time.	Datang dan temui saya saat Anda memiliki waktu.
Sometimes he acts as if he were my boss.	Terkadang dia bertingkah seolah-olah dia adalah bosku.
Try and do better next time.	Coba lebih baik lagi lain kali.
Compass needles point to the north.	Jarum kompas menunjuk ke utara.
Suicide is a desperate act.	Bunuh diri adalah tindakan nekat.
My bicycle was stolen.	Sepedaku dicuri.
Please move your car out of here.	Tolong pindahkan mobil Anda dari sini.
I got the bicycle at a bargain.	Saya membeli sepeda dengan menawar.
Don't leave the bicycle out in the rain.	Jangan tinggalkan sepeda di bawah hujan.
I don't have a bicycle.	Saya tidak punya sepeda.
Don't you have a bicycle?	Apakah kamu punya sepeda?
Do you have a bicycle?	Apakah kamu punya sepeda?
Fasten your seat belts when you drive a car.	Kencangkan sabuk pengaman ketika kau mengendarai mobil.
You must fulfill your duty.	Kau harus memenuhi kewajibanmu.
You are honest to admit your mistake.	Anda jujur mengakui kesalahan Anda
Keep your room as neat as you can.	Jagalah kamarmu agar tetap bersih dan rapi.
I left my dictionary downstairs.	Aku meninggalkan kamusku di lantai bawah.
I've never visited Kagoshima, but I intend to this summer.	Aku belum pernah mengunjungi Kagoshima, tapi aku berniat ke sana musim panas tahun ini.
The experiment was successful.	Percobaannya berhasil.
A photographer took a photograph of my house.	Seorang fotografer mengambil gambar rumahku.
The car left a cloud of dust behind it.	Mobil itu mengeluarkan asap tebal.
Nothing is the matter with the car. It's just that you are a bad driver.	Tidak ada yang salah dengan mobilnya. Hanya saja kamu tidak bisa mengemudi.
You'll save yourself a lot of time if you take the car.	Kau akan menghemat banyak waktu jika menggunakan mobil.
You will save yourself a lot of time if you take the car.	Kau akan menghemat banyak waktu jika menggunakan mobil.
The faucet is leaking.	Kerannya bocor.
Put your hands up!	Angkat tanganmu!
Drink less and sleep more.	Kurangi minum dan tidurlah lebih banyak.
I hear my uncle died of cancer.	Saya dengar paman saya meninggal karena kanker.
It's time to go.	Sudah waktunya untuk pergi.
Get out!	Keluar!
Those who are present are all Japanese.	Semua yang telah hadir adalah orang Jepang.
I'll be back by tomorrow, if possible.	Kalau memungkinkan, saya akan kembali besok.
A lot of flowers begin to bloom in spring.	Banyak bunga mulai bermekaran pada musim semi.
I remember the night when I first saw the Milky Way.	Saya ingat malam ketika melihat Bima Sakti untuk pertama kalinya.
Please give me a sheet of paper.	Tolong berikan selembar kertas.
It is our obligation to help.	Ini adalah tanggungjawab kami untuk membantu.
The girl came dancing toward me.	Gadis itu datang menari ke arahku.
Masaru doesn't care for this color.	Masaru tidak menyukai warna ini.
I noticed that a small gray animal was looking toward us.	Saya memperhatikan bahwa seekor binatang kecil sedang melihat ke arah kita.
Young children soon pick up words they hear.	Anak kecil dengan cepat mengingat kata yang ia dengar.
Could you find me a house that has a small garden?	Dapatkah Anda membantu saya mencarikan rumah dengan sebuah taman kecil?
The kitten was drinking milk under the table.	Anak kucing itu tadi sedang minum susu di bawah meja.
Flour is made into bread.	Tepungnya dibuat menjadi roti.
Hold on a minute, please.	Mohon tunggu sebentar.
Not less than 40 percent of students go on to university.	Tidak kurang dari 40 persen siswa pergi melanjutkan pendidikan ke universitas.
The boy said that the taxi vanished into the fog.	Anak itu bilang bahwa taksi tersebut telah lenyap di dalam kabut.
Is there anything on the floor?	Apa ada sesuatu di atas lantai?
All right.	Baiklah.
The fireman could not extinguish the flames.	Petugas pemadam itu tidak dapat menjinakkan api.
The fireman rushed into the burning house.	Petugas pemadam kebakaran menerobos masuk ke dalam rumah yang sedang terbakar.
Don't make me laugh!	Jangan buat aku tertawa!
There's no evidence.	Tidak ada bukti.
When does the show start?	Kapan pertunjukannya mulai?
It's no joke.	Ini bukan lelucon.
Don't pull my leg!	Jangan mempermainkanku!
A polite way to reveal knowledge of a fact without telling the source of the information is to say, "a little bird told me".	Cara yang sopan untuk memberi tahu suatu fakta tanpa menyebutkan sumber informasi adalah dengan mengatakan, "ada kabar burung".
The lock is broken.	Kuncinya rusak.
You shouldn't go to work.	Kau sebaiknya tidak pergi bekerja.
It's not good to overeat.	Terlalu banyak makan itu tidak baik.
Do you eat at home or eat out?	Apakah anda makan dirumah atau makan diluar ?
Have you ever had food poisoning?	Apa kau pernah keracunan makanan?
Will you tell me how to get to Shinjuku?	Maukah anda memberitahu saya bagaimana cara pergi ke Shinjuku?
Fresh fruit is good for the health.	Buah segar baik untuk kesehatan.
Where's the newspaper?	Korannya mana?
Get back before midnight, or you will be locked out.	Kembali sebelum tengah malam atau kau akan terkunci di luar.
God bless you!	Tuhan memberkatimu!
May God bless you.	Semoga Tuhan memberkatimu.
God created the world in six days.	Tuhan menciptakan dunia dalam waktu enam hari.
I can talk about anything with my best friend.	Aku bisa bercerita tentang banyak hal dengan sahabatku.
Just as the body needs exercise, so the mind needs stimulation to stay healthy.	Seperti halnya tubuh perlu olahraga, pikiran juga perlu stimulasi agar tetap sehat.
I don't understand how in the world they can take your stuff for safekeeping, but then the post office guy has the nerve to tell you "Sorry, we lost it" and expect that to be the end of it.	Aku tidak mengerti bagaimana bisa mereka mengambil barangmu untuk disimpan, tapi kemudian petugasnya dengan beraninya cuma berkata "Maaf, barang Anda hilang" tanpa ada penyelesaian lebih lanjut.
One must do one's best in everything.	Seseorang harus melakukan yang terbaik dalam hal apapun.
Everyone ought to be a master of his own destiny.	Semua orang harus menjadi tuan bagi tujuannya/takdirnya.
Don't make fun of other people.	Jangan mempermainkan orang lain.
Are you kidding?	Apa kau bercanda?
Don't point at others.	Jangan menuduh orang lain.
Don't make a fool of me.	Jangan mempermainkanku.
Humans can't live on Mars.	Manusia tidak bisa hidup di Mars.
Man consists of soul and body.	Manusia terdiri atas jiwa dan raga.
The population explosion is a serious problem.	Ledakan populasi adalah masalah yang serius.
There are many mysteries in life.	Ada banyak misteri dalam kehidupan.
Don't make a scene in public.	Jangan buat keributan di depan umum.
A glass of water, please.	Tolong segelas air putih.
I like swimming and playing basketball.	Saya gemar berenang dan bermain bola basket.
Several students came to the library.	Beberapa murid datang ke perpustakaan.
There are more than 150 nations in the world.	Ada lebih dari 150 negara di dunia.
Japan ranks among the economic powers of the world.	Jepang termasuk dalam kekuatan ekonomi dunia.
Since the Industrial Revolution, the world population has more than tripled.	Semenjak Revolusi Industri dimulai, populasi dunia menjadi 3 kali lipat lebih banyak.
Have a look at the world map.	Lihatlah peta dunia.
The government imposed a new tax on cigarettes.	Pemerintah memberlakukan pajak baru pada rokok.
The government has been reforming education.	Pemerintah terus memperbarui sistem pendidikan.
I do not know exactly.	Aku tidak tahu tepatnya.
Honesty is no guarantee of success.	Kejujuran bukan jaminan sukses.
The students must not enter the teachers' room this week.	Para siswa dilarang memasuki ruangan guru minggu ini.
His speech made a deep impression on the students.	Perkataannya telah membuat kesan yang dalam terhadap murid-murid.
The customs officials examined the boxes.	Petugas Bea dan Cukai memeriksa kotak-kotak.
Where is the Customs Service?	Di mana layanan Bea dan Cukai?
After getting through customs, I was free to go wherever I wanted.	Setelah melalui pemeriksaan pabean, saya bebas pergi ke mana pun yang saya inginkan.
Please fill out the Customs Declaration Form.	Silakan isi Pemberitahuan Pabean.
Don't throw stones.	Jangan melempar batu.
The teacher put a short comment on each paper.	Guru menuliskan pendapat pendek pada masing-masing kertas tugas.
The teacher didn't mind explaining the problem again.	Guru itu tidak keberatan menjelaskan persoalan itu lagi.
Did you catch any fish in the river?	Apa kamu berhasil menangkap ikan di sungai?
Shelters have been built in fear of war.	Tempat-tempat perlindungan dibuat karena takut akan peperangan.
You're quite right.	Kau memang benar.
Is everything okay?	Apa semuanya baik-baik saja?
I don't like all of them.	Aku tidak menyukai kesemuanya.
You can't have dessert until you finish your meal.	Kamu tidak boleh makan pencuci mulut sampai kamu menghabiskan makananmu.
What matters is whether you do your best or not.	Yang penting adalah apakah kamu melakukan yang terbaik atau tidak.
My grandmother passed away peacefully last night.	Nenekku meninggal dengan tenang semalam.
Those are nice gloves you have on.	Sarung tanganmu bagus ya.
Was it Jack that broke the window?	Apakah Jack yang memecahkan jendelanya?
Please open the window.	Tolong buka jendelanya.
Don't make noise. Keep quiet.	Jangan berisik. Harap tenang.
What do you have your feet for?	Untuk apa kau memiliki kaki?
It is bad to hurt others.	Menyakiti orang lain itu tidak baik.
Many young men went to war.	Banyak pemuda ikut perang.
Many roads are flooded. As a result there are long delays.	Beberapa jalan raya banjir. Akibatnya terdapat penundaan yang lama.
I should say she is a little angry.	Ia agak marah sepertinya.
The sun is going down.	Mataharinya mulai terbenam.
My pants are very loose because I've lost much weight.	Celanaku sangat longgar karena berat badanku turun.
I am exhausted.	Aku kelelahan.
Is there a knife in the kitchen?	Apakah di dapur ada pisau?
The big oak tree breaks the force of the wind.	Pohon ek besar itu menahan kencangnya hembusan angin.
A big rock rose out of the sea.	Sebuah batu besar muncul ke permukaan laut.
The big building was blazing with lights.	Bangunan besar itu gemerlap dengan cahaya.
The river swelled rapidly because of the heavy rain.	Sungai itu meluap dengan cepat karena hujan deras.
My first day in the university was rather boring.	Hari pertama saya di universitas agak membosankan.
I am a university student.	Aku adalah mahasiswa.
Are you all right?	Apa kamu baik baik saja?
A majority of Japanese workers plan to take more than three consecutive days of summer vacation.	Mayoritas pekerja Jepang berencana untuk mengambil libur musim panas lebih dari tiga hari berturut-turut.
Most students are tired of having to take examinations all the time.	Sebagian besar siswa lelah setiap waktu mengikuti ujian.
The president was visiting France that month.	Presiden mengunjungi Prancis bulan itu.
Thank you ever so much.	Terima kasih banyak.
Who telephoned Ann?	Siapa yang menelepon Ann?
I heard someone whistle.	Aku mendengar seseorang bersiul.
Someone has stolen all my money.	Seseorang telah mencuri semua uangku.
Somebody pushed me in.	Seseorang mendorongku ke dalam.
Someone beat me to the draw!	Seseorang mengalahkanku hingga seri.
I don't know who painted this picture.	Aku tidak tahu siapa yang menggambar gambar ini.
Who will take care of the baby?	Siapa yang akan merawat bayinya?
Who will look after the baby?	Siapa yang akan menjaga bayinya?
Anyone can do it.	Siapapun bisa melakukannya.
Everyone has faults.	Semua orang punya kekurangan.
Everybody speaks well of her.	Semua orang memuji dirinya.
No one is to leave without permission.	Tidak ada yang boleh keluar tanpa permisi.
The cellar is ugly, dark, and stinky.	Ruang bawah tanahnya jelek, gelap, dan berbau.
The earth is round.	Bumi itu bulat.
The earth is one of the planets.	Bumi adalah salah satu planet.
We have adequate inventories of the product to meet local demand.	Kami memiliki pasokan produk yang cukup untuk memenuhi permintaan lokal.
Ikeda is my last name, and Kazuko is my first name.	Ikeda nama belakangku, dan Kazuko nama depanku.
I fear that we are late.	Aku takut kalau kita terlambat.
Why not try it on?	Kenapa tidak dicoba?
Day alternates with night.	Siang dan malam silih berganti.
Let's have lunch!	Ayo makan siang!
Do you think you could make it before lunch?	Kamu kira bisa selesai sebelum makan siang?
I hear that studying in the morning is more effective. Studying one hour in the morning is as good as three hours at night.	Saya dengar bahwa belajar di pagi hari lebih efektif. Belajar satu jam di pagi hari sama baiknya dengan belajar tiga jam di malam hari.
Feed the bird!	Beri makan burungnya!
Birds fly in the sky.	Burung-burung terbang di langit.
Naoko swims.	Naoko berenang.
If there is a lot of traffic in the streets, we say in English that the traffic is heavy.	Bila terdapat banyak kendaraan di jalan, kita mengatakannya dalam bahasa Inggris, jalanan padat.
He slipped while crossing the street.	Dia terpeleset saat sedang menyeberang jalan.
Walking along the street, I met the lady.	Ketika aku berjalan di sepanjang jalan ini, aku bertemu dengan seorang wanita.
When it comes to fishing, he's an expert.	Ketika memancing, dialah ahlinya.
My brother is always acting foolishly.	Adikku selalu bertingkah konyol.
My younger brother is taller than I.	Adik laki-lakiku lebih tinggi dariku.
I will go, provided the weather is clear.	Aku akan pergi jika cuacanya cerah.
The weather report says it will rain tomorrow afternoon.	Menurut ramalan cuaca, besok siang akan turun hujan.
Could you turn off the lights?	Bisakah kau mematikan lampu-lampunya?
The train has just left.	Keretanya baru saja berangkat.
He must have been sleeping because he didn't answer the telephone.	Dia tidak mengangkat teleponnya, pasti dia sedang tidur.
Please hold on a moment.	Mohon tunggu sebentar.
I was at my wit's end.	Aku kehabisan akal.
The Tokaido line terminates at Tokyo.	Jalur Tokaido berhenti di Tokyo
My strong point is my philosophy - nothing ventured nothing gained.	Kekuatanku ada pada filosofiku - tak ada usaha, tak ada hasil
Obviously.	Jelas.
Don't work too hard.	Jangan bekerja terlalu keras.
Hold it!	Tahan!
Animals and plants live on this planet.	Hewan dan tumbuhan hidup di planet ini.
Zoology deals with the study of animal life.	Zoologi adalah ilmu yang mempelajari tentang hewan.
Let's live it up!	Mari bersenang-senang!
What's your specialty?	Jurusanmu apa?
Suddenly, the light went out.	Tiba-tiba lampu padam.
The pig is growing fat.	Babi itu bertambah gemuk.
Twice two is equal to four.	Dua tambah dua sama dengan empat.
The two boys look more alike than I thought.	Kedua anak laki-laki itu ternyata lebih mirip daripada yang aku pikirkan.
I will not do it again.	Aku tidak akan melakukannya lagi.
In Japan, it is very hot in summer.	Di Jepang, pada musim panas cuacanya sangat panas.
In Japan, we drive on the left side of the road.	Di jepang kami menyetir kendaraan pada sisi kiri jalan.
Cars made in Japan are used all over the world.	Mobil produksi Jepang digunakan di seluruh dunia.
Do you have a similar saying in Japanese?	Apakah ada pepatah yang mirip dalam bahasa Jepang?
Have you ever been to Japan?	Apakah kamu pernah ke Jepang?
Japan's changing economic policy is tied up with the labor shortage.	Kebijakan ekonomi Jepang yang terus berubah dipengaruhi oleh kurangnya tenaga kerja.
Japanese houses are built of wood and they catch fire easily.	Rumah-rumah orang Jepang terbuat dari kayu, sehingga rentan untuk terbakar.
Japanese companies generally provide their employees with uniforms.	Perusahan Jepang umumnya menyediakan seragam untuk para karyawannya.
The main crop of Japan is rice.	Produk pertanian utama Jepang adalah beras.
Japan is trying to cope with the aging of its population.	Jepang berusahan mengatasi penuaan pada populasinya.
Japan is one of the greatest economic powers in the world.	Jepang adalah salah satu kekuatan ekonomi terbesar di dunia.
Japan is famous for Mt. Fuji.	Jepang terkenal akan Gunung Fujinya.
Japanese is our mother tongue.	Bahasa jepang adalah bahasa ibu kita.
Speaking Japanese is easy for me.	Berbicara bahasa Jepang itu mudah bagi saya.
Japanese and British people usually wait at a bus stop in a queue.	Orang Jepang dan Inggris biasanya menunggu di pemberhentian bis dengan mengantri.
Patience is a rare virtue these days.	Kesabaran merupakan kebajikan yang sukar ditemukan belakangan ini.
Cats have the ability to see in the dark.	Kucing punya kemampuan melihat dalam gelap.
I have a fever.	Saya demam.
The rainforests are disappearing at the rate of tens of thousands of hectares a day.	Hutan-hutan hujan semakin musnah dengan kecepatan sepuluh ribu hektar per hari.
I will have obtained a driver's license by the end of the year.	Aku akan mendapat SIM akhir tahun ini.
The farm owner has a large farm.	Pemilik kebun itu memiliki kebun yang luas.
The waves are high.	Ombaknya tinggi.
Nonsense!	Omong kosong!
This is ridiculous!	Konyol!
This is silly!	Konyol!
My back still hurts.	Punggungku masih sakit.
The museum is around the corner.	Museumnya ada di dekat sini.
I understand the museum is closed on Mondays.	Setahu aku, museum itu tutup setiap hari Senin.
I have a serious skin problem.	Aku memiliki masalah kulit yang serius.
It rained like mad for about a half-hour.	Hujan deras selama sekitar setengah jam.
